State_UT,State_UT_Code,Fiscal Year,Estimate,Per Capita Expenditure on Health Sector ,Total Health Sector Expenditure,Total Health Sector Expenditure as % of State Budget,Revenue Expenditure as % of Total Health Sector Expenditure,Capital Expenditure (including Loans & Advances ) as % of Total Health Sector Expenditure,,,,,,,,,,,,
Maharashtra,14,2019-20,Budget Estimates,1201,14712,3.6,97.0,3.0,,,,,,,,,,,,
Maharashtra,14,2019-20,Revised Estimates,1253,15351,3.7,93.8,6.2,,,,,,,,,,,,
Maharashtra,14,2019-20,Actuals,1112,13630,3.6,95.0,5.0,,,,,,,,,,,,
Maharashtra,14,2020-21,Budget Estimates,1259,15570,3.6,96.7,3.3,,,,,,,,,,,,
Maharashtra,14,2020-21,Revised Estimates,1444,17853,4.1,97.5,2.5,,,,,,,,,,,,
Maharashtra,14,2020-21,Actuals,1262,15604,3.9,98.4,1.6,,,,,,,,,,,,
Maharashtra,14,2021-22,Budget Estimates,1341,16727,3.5,95.4,4.6,,,,,,,,,,,,
Maharashtra,14,2021-22,Revised Estimates,1822,22727,4.6,96.1,3.9,,,,,,,,,,,,
Maharashtra,14,2022-23,Budget Estimates,1668,20917,3.8,94.5,5.5,,,,,,,,,,,,
Manipur,15,2016-17,Actuals,,,,,,,,,,,,,,,,,
Manipur,15,2017-18,Budget Estimates,,,,,,,,,,,,,,,,,
Manipur,15,2017-18,Revised Estimates,,,,,,,,,,,,,,,,,
Manipur,15,2017-18,Actuals,,,,,,,,,,,,,,,,,
Manipur,15,2018-19,Budget Estimates,,,,,,,,,,,,,,,,,
Manipur,15,2018-19,Revised Estimates,,,,,,,,,,,,,,,,,
Manipur,15,2018-19,Actuals,1607,494,3.4,97.2,2.8,,,,,,,,,,,,
Manipur,15,2019-20,Budget Estimates,2402,745,4.6,98.0,2.0,,,,,,,,,,,,
Manipur,15,2019-20,Revised Estimates,2720,844,4.2,89.7,10.3,,,,,,,,,,,,
Manipur,15,2019-20,Actuals,2152,668,3.9,93.8,6.2,,,,,,,,,,,,
Manipur,15,2020-21,Budget Estimates,2701,847,4.1,98.2,1.8,,,,,,,,,,,,
Manipur,15,2020-21,Revised Estimates,3509,1100,4.4,85.1,14.9,,,,,,,,,,,,
Manipur,15,2020-21,Actuals,2574,807,3.6,87.0,13.0,,,,,,,,,,,,
Manipur,15,2021-22,Budget Estimates,3461,1096,3.8,87.8,12.2,,,,,,,,,,,,
Manipur,15,2021-22,Revised Estimates,4685,1483,4.6,87.5,12.5,,,,,,,,,,,,
